"","year","totalC_estimate_from_growthFunc_ton","upp95CI_totalC_estimate_from_growthFunc_ton","low95CI_totalC_estimate_from_growthFunc_ton","totalC_estimate_from_uppGrowthFunc_ton","upp95CI_totalC_estimate_from_uppGrowthFunc_ton","low95CI_totalC_estimate_from_uppGrowthFunc_ton","totalC_estimate_from_lowGrowthFunc_ton","upp95CI_totalC_estimate_from_lowGrowthFunc_ton","low95CI_totalC_estimate_from_lowGrowthFunc_ton"
"carbon1990CON",1990,49538080.7025323,45743436.9631007,53332724.4419638,54144995.1525334,49997862.2928041,58292128.0122627,44231894.5746714,40843331.5243442,47620457.6249986
"carbon1991CON",1991,49734334.0390994,45900141.1614077,53568526.9167912,54325610.1490057,50138549.9234868,58512670.3745245,44459238.9616967,41031382.5878936,47887095.3354997
"carbon1992CON",1992,49904787.1955532,46032638.4460828,53776935.9450235,54490577.9333775,50265469.9675206,58715685.8992345,44654509.3022998,41189318.2385894,48119700.3660102
"carbon1993CON",1993,50051131.347882,46142662.0651389,53959600.6306251,54643850.5310965,50383003.4251719,58904697.6370211,44819601.3194006,41318987.5448225,48320215.0939787
"carbon1994CON",1994,50441420.8213729,46502680.6505947,54380160.992151,55081844.3988374,50792049.7451819,59371639.0524929,45193146.3719903,41663028.4786796,48723264.2653011
"carbon1995CON",1995,50812135.3039353,46845189.7631188,54779080.8447519,55513092.0578239,51197134.9992661,59829049.1163817,45540383.5339467,41982817.241948,49097949.8259453
"carbon1996CON",1996,50899505.5770631,46901622.1397957,54897389.0143306,55644621.3099459,51300168.8813347,59989073.738557,45626306.8649051,42038683.2033862,49213930.526424
"carbon1997CON",1997,51237649.5349905,47215715.9126403,55259583.1573407,56065464.0810318,51699907.0551742,60431021.1068894,45926083.5485221,42314627.7036211,49537539.3934232
"carbon1998CON",1998,51503864.1024202,47459096.6486662,55548631.5561742,56418563.2322181,52033399.9507974,60803726.5136387,46152260.3164296,42517816.2719737,49786704.3608855
"carbon1999CON",1999,51700341.8706176,47634039.791858,55766643.9493773,56704015.9100937,52300572.0594534,61107459.760734,46306766.7364275,42650169.1685525,49963364.3043025
"carbon2000CON",2000,51237669.6725041,47139374.1260773,55335965.2189309,56267104.9942279,51833555.9201797,60700654.0682762,45865284.7758001,42176581.6770467,49553987.8745535
"carbon2001CON",2001,51240456.1065575,47122235.9086106,55358676.3045044,56348880.9899546,51897534.3001344,60800227.6797748,45829404.3120225,42119367.2400309,49539441.384014
"carbon2002CON",2002,51297519.9366244,47162889.8845981,55432149.9886508,56495614.2570376,52029818.224636,60961410.2894392,45833820.0559034,42105360.5048362,49562279.6069707
"carbon2003CON",2003,50729235.8637684,46570071.0217876,54888400.7057492,55955889.8008834,51465993.0003436,60445786.6014231,45274606.6457222,41520373.3226139,49028839.9688306
"carbon2004CON",2004,50542917.2251574,46369431.9026439,54716402.5476708,55841718.1834401,51338468.578119,60344967.7887612,45049388.6383776,41278537.8557126,48820239.4210426
"carbon2005CON",2005,50711707.7159319,46530486.7277602,54892928.7041037,56122065.694027,51612125.9920391,60632005.396015,45135087.2105506,41353577.717022,48916596.7040792
"carbon2006CON",2006,49698535.2910182,45487691.4645587,53909379.1174778,55097114.2626079,50554386.9569362,59639841.5682796,44164678.0900496,40353871.7731766,47975484.4069227
"carbon2007CON",2007,49750111.8992985,45533599.7700368,53966624.0285602,55250284.2824363,50701873.1086574,59798695.4562152,44138998.0212234,40320134.0394578,47957862.002989
"carbon2008CON",2008,49479331.6087055,45253088.7878477,53705574.4295634,55049071.5920834,50489840.7013851,59608302.4827816,43824068.5727406,39994197.5026694,47653939.6428119
"carbon2009CON",2009,49478240.7447507,45249453.8921376,53707027.5973639,55145953.8257328,50583928.8200628,59707978.8314029,43747604.9933524,39913329.2324057,47581880.754299
"carbon2010CON",2010,49659990.5557142,45431781.3696555,53888199.7417729,55444179.9193954,50882691.2498998,60005668.588891,43832872.8723181,39997319.6284027,47668426.1162336
"carbon2011CON",2011,49491079.736172,45262568.5737125,53719590.8986315,55349983.6406664,50787419.6766919,59912547.604641,43606236.0409947,39769161.0503729,47443311.0316165
"carbon2012CON",2012,49506397.8852311,45280546.2725362,53732249.497926,55459038.0292928,50898591.3692419,60019484.6893437,43543612.4457533,39707926.0604872,47379298.8310194
"carbon2013CON",2013,48994423.6016436,44770986.0677003,53217861.1355868,54979356.8417264,50419721.4967224,59538992.1867305,43012735.7773994,39178817.2661799,46846654.2886188
"carbon2014CON",2014,47520921.1021348,43588060.6633091,51453781.5409606,53423034.7169357,49189612.6312535,57656456.8026179,41634201.4574079,38053708.9148752,45214693.9999406
"carbon2015CON",2015,46851629.728843,42921688.0601621,50781571.3975239,52747291.4850196,48513199.8151885,56981383.1548507,40975549.6270654,37398402.4862645,44552696.7678663
"carbon2016CON",2016,45967597.5497027,42035330.9760577,49899864.1233477,51824060.1272421,47581703.4182778,56066416.8362064,40135440.9227069,36558167.4603668,43712714.385047
"carbon2017CON",2017,45263663.4703639,41339769.2196107,49187557.7211171,51109160.7569714,46870644.2285058,55347677.285437,39446716.2910987,35878409.364104,43015023.2180933
"carbon2018CON",2018,44583682.2420605,40669558.8244157,48497805.6597052,50402859.9412745,46169255.0405198,54636464.8420291,38796896.4588168,35239264.5626741,42354528.3549594
"carbon2019CON",2019,43503737.1293002,39576939.9888968,47430534.2697037,49262839.0924057,45006081.5606233,53519596.6241881,37782163.737183,34217965.7102461,41346361.76412
"carbon2020CON",2020,43196106.1705698,39254984.404127,47137227.9370126,48947314.4217297,44666206.637694,53228422.2057654,37485680.9732063,33913727.2187396,41057634.727673
"carbon2021CON",2021,42415641.9226481,38469951.4810987,46361332.3641976,48120072.1352229,43824935.152051,52415209.1183949,36751244.2388195,33179722.4021553,40322766.0754837
