"","year","totalC_estimate_from_growthFunc_ton","upp95CI_totalC_estimate_from_growthFunc_ton","low95CI_totalC_estimate_from_growthFunc_ton","totalC_estimate_from_uppGrowthFunc_ton","upp95CI_totalC_estimate_from_uppGrowthFunc_ton","low95CI_totalC_estimate_from_uppGrowthFunc_ton","totalC_estimate_from_lowGrowthFunc_ton","upp95CI_totalC_estimate_from_lowGrowthFunc_ton","low95CI_totalC_estimate_from_lowGrowthFunc_ton"
"carbon1990NReg",1990,22527664.2685225,20802262.2533406,24253066.2837043,25063364.2054226,23151681.6051161,26975046.8057291,19951461.5292768,18421315.4121265,21481607.646427
"carbon1991NReg",1991,22671406.4544446,20925589.4604539,24417223.4484353,25229887.7343596,23298388.1139512,27161387.3547679,20077889.6194027,18528068.1047624,21627711.1340431
"carbon1992NReg",1992,22803530.7389798,21039017.1290773,24568044.3488823,25393043.3014933,23443626.0603615,27342460.5426251,20187502.3602785,18619557.4933542,21755447.2272027
"carbon1993NReg",1993,22926202.47101,21144745.1564389,24707659.7855812,25553156.6429853,23587679.0503013,27518634.2356694,20282358.0494405,18697848.2725249,21866867.8263562
"carbon1994NReg",1994,23152140.8138928,21358840.3266673,24945441.3011184,25834973.8383768,23859103.8133568,27810843.8633968,20462774.8821416,18866164.2283855,22059385.5358977
"carbon1995NReg",1995,23373976.7129668,21570595.0581147,25177358.3678189,26117148.2427401,24132642.0366118,28101654.4488684,20634103.5281562,19026942.0273737,22241265.0289386
"carbon1996NReg",1996,23479739.2289098,21664446.3907816,25295032.067038,26268932.3464445,24272521.9247718,28265342.7681172,20698475.9196731,19079344.9301186,22317606.9092276
"carbon1997NReg",1997,23693655.5112766,21871292.8331968,25516018.1893563,26539745.8007864,24536206.9569832,28543284.6445896,20856279.110259,19229650.5094571,22482907.7110609
"carbon1998NReg",1998,23878319.0993163,22049622.6721471,25707015.5264856,26774563.323403,24763689.9074215,28785436.7393846,20987348.7219024,19354274.7786326,22620422.6651721
"carbon1999NReg",1999,24033268.9188314,22198817.3002161,25867720.5374468,26978159.1532074,24960443.2338595,28995875.0725553,21092316.1128765,19453762.9887435,22730869.2370096
