"","year","totalC_estimate_from_growthFunc_ton","upp95CI_totalC_estimate_from_growthFunc_ton","low95CI_totalC_estimate_from_growthFunc_ton","totalC_estimate_from_uppGrowthFunc_ton","upp95CI_totalC_estimate_from_uppGrowthFunc_ton","low95CI_totalC_estimate_from_uppGrowthFunc_ton","totalC_estimate_from_lowGrowthFunc_ton","upp95CI_totalC_estimate_from_lowGrowthFunc_ton","low95CI_totalC_estimate_from_lowGrowthFunc_ton"
"carbon1990CON",1990,56082259.8109409,51780659.6582619,60383859.9636199,61960851.4736644,57213224.416374,66708478.5309549,49929189.095907,46099282.528682,53759095.663132
"carbon1991CON",1991,55898406.633739,51582401.6419107,60214411.6255674,61816657.3294524,57052411.1399581,66580903.5189468,49742597.3342487,45901213.5833689,53583981.0851285
"carbon1992CON",1992,55710878.9905107,51381375.4049347,60040382.5760867,61673839.3308992,56894730.8455368,66452947.8162616,49551769.5530977,45699439.4216853,53404099.6845101
"carbon1993CON",1993,55520945.691797,51178943.6434819,59862947.740112,61534803.1344524,56742746.8985909,66326859.3703139,49357150.0314247,45494397.0350437,53219903.0278057
"carbon1994CON",1994,55597102.0006632,51251542.1911575,59942661.8101689,61697237.1551386,56903075.2740817,66491399.0361955,49396636.4298619,45530928.8208238,53262344.0389001
"carbon1995CON",1995,55674397.8595151,51326286.5017404,60022509.2172898,61868067.2836934,57073745.1582685,66662389.4091182,49433768.116323,45565435.1309868,53302101.1016592
"carbon1996CON",1996,55486736.0838429,51129313.5353103,59844158.6323756,61750268.3767441,56948570.066678,66551966.6868101,49231482.5771175,45353944.8888174,53109020.2654175
"carbon1997CON",1997,55570626.2667705,51212995.4247132,59928257.1088278,61935832.9045374,57137203.2967771,66734462.5122977,49265890.9201876,45386531.1095001,53145250.7308751
"carbon1998CON",1998,55600180.2245835,51242513.1358176,59957847.3133495,62061054.3018581,57265495.6488441,66856612.9548722,49247316.9998345,45365645.2327954,53128988.7668735
"carbon1999CON",1999,55576231.4612438,51218764.4842198,59933698.4382679,62125513.8420981,57332941.464908,66918086.2192881,49176768.5754274,45292429.3302517,53061107.820603
"carbon2000CON",2000,54902338.4592171,50528898.2193111,59275778.6991231,61466202.1296836,56657314.9760601,66275089.2833071,48525770.4140479,44624359.2871904,52427181.5409053
"carbon2001CON",2001,54712749.9917193,50339084.1362444,59086415.8471942,61343352.8418587,56536156.3034874,66150549.38023,48301391.3267759,44396296.0187759,52206486.6347759
"carbon2002CON",2002,54591070.8138851,50219678.4735409,58962463.1542294,61294403.1683584,56491356.4249286,66097449.9117883,48134916.6981164,44228191.8180338,52041641.5781989
"carbon2003CON",2003,53848757.3507209,49468247.6431307,58229267.058311,60553207.828652,55740476.5204803,65365939.1368236,47416883.0839139,43498822.6829395,51334943.4848883
"carbon2004CON",2004,53504081.0442786,49125673.8690223,57882488.2195348,60254256.4557346,55444786.4683121,65063726.443157,47050681.645997,43131061.9479138,50970301.3440802
"carbon2005CON",2005,53529144.3350186,49158724.4820401,57899564.1879972,60366690.2977758,55567042.075259,65166338.5202926,47011858.1971365,43096006.6402075,50927709.7540655
"carbon2006CON",2006,52365747.252382,47974199.4849203,56757295.0198437,59152372.4860075,54326730.0370824,63978014.9349325,45920648.7109506,41984863.9345408,49856433.4873604
"carbon2007CON",2007,52290859.8202959,47907569.259169,56674150.3814228,59149621.9794227,54333455.4818773,63965788.476968,45794131.6614296,41863144.1183595,49725119.2044997
"carbon2008CON",2008,51896933.1793453,47515537.5228467,56278328.8358439,58791547.769434,53977177.7141314,63605917.8247366,45385928.717963,41454966.3535225,49316891.0824036
"carbon2009CON",2009,51784260.9059347,47412500.4513576,56156021.3605117,58747127.8242273,53944185.2973849,63550070.3510696,45227527.0704865,41303248.4700481,49151805.6709249
"carbon2010CON",2010,51864262.5841116,47504608.5118582,56223916.6563649,58916145.2470141,54127634.1725955,63704656.3214327,45240351.9380077,41325085.4930334,49155618.382982
"carbon2011CON",2011,51593028.6382106,47243605.6510006,55942451.6254207,58683152.4415262,53906296.4689135,63460008.414139,44945028.829941,41037516.0058468,48852541.6540353
"carbon2012CON",2012,51516603.2185173,47179878.2580691,55853328.1789655,58666081.6163314,53903498.8408844,63428664.3917785,44821671.0896664,40924082.2032418,48719259.9760911
"carbon2013CON",2013,50909298.8824561,46584106.3350827,55234491.4298295,58043631.2363524,53292663.4093635,62794599.0633413,44230804.767508,40342553.4843253,48119056.0506908
"carbon2014CON",2014,49325501.5180146,45302395.2109645,53348607.8250647,56314885.6716915,51905573.822679,60724197.5207039,42785108.7461991,39158931.5754563,46411285.9169418
"carbon2015CON",2015,48563617.9780996,44550430.7773321,52576805.1788671,55494149.992268,51092063.6716629,59896236.312873,42070377.5265015,38453155.7884606,45687599.2645423
"carbon2016CON",2016,47583753.958314,43573861.9273957,51593645.9892322,54422418.3688145,50018516.6666894,58826320.0709397,41172483.8497664,37559557.799684,44785409.8998489
"carbon2017CON",2017,46800044.0422417,42804620.4539584,50795467.630525,53575566.2570857,49182917.6698681,57968214.8443034,40439414.5456596,36840150.3101928,44038678.7811264
"carbon2018CON",2018,46035270.5521252,42055258.9324179,50015282.1718325,52736590.6605303,48356005.2212305,57117176.0998301,39739434.0366485,36155090.11881,43323777.9544869
"carbon2019CON",2019,44875608.6445004,40885894.3752407,48865322.9137601,51460170.9099062,47060343.8973482,55859997.9224642,38682891.3044419,35094218.1083264,42271564.5005574
"carbon2020CON",2020,44487398.4276246,40486309.4580265,48488487.3972226,51026243.9810371,46606517.014481,55445970.9475932,38333442.3017447,34738578.8506728,41928305.7528165
"carbon2021CON",2021,43633951.1933703,39631486.2768656,47636416.1098751,50073722.1517231,45644651.1086849,54502793.1947612,37560291.5883341,33968200.7894851,41152382.387183
