"","Year","total","SE"
"carbon2021CON",2021,1756458.48142096,318241.193512412
"carbon2020CON",2020,1549712.32465692,296601.955354516
"carbon2019CON",2019,1362163.66422287,275475.915243819
"carbon2018CON",2018,1192203.25610935,254899.63551594
"carbon2017CON",2017,1038282.96359866,234917.277843111
"carbon2016CON",2016,898961.148651637,215574.714567263
"carbon2015CON",2015,773009.173025973,196911.721206974
"carbon2014CON",2014,659498.965546108,178956.694820877
"carbon2013CON",2013,557856.656831545,161726.871583518
"carbon2012CON",2012,467742.711064977,145233.032895019
"carbon2011CON",2011,388773.243446204,129485.744307128
"carbon2010CON",2010,320405.529807859,114500.609952795
"carbon2009CON",2009,261901.010210044,100301.341730887
"carbon2008CON",2008,212326.734216215,86919.9708321594
"carbon2007CON",2007,170653.223162583,74394.3793804488
"carbon2006CON",2006,135833.975076185,62765.044551184
"carbon2005CON",2005,106917.278041962,52072.4863650521
"carbon2004CON",2004,83052.0551050527,42356.7886137381
"carbon2003CON",2003,63428.8821054171,33657.0334825847
"carbon2002CON",2002,47382.9943983511,26007.5913799733
"carbon2001CON",2001,34380.3467987967,19432.2769986857
"carbon2000CON",2000,23973.871329935,13936.3683290125
"carbon1999CON",1999,15853.3725509283,9498.91153317263
"carbon1998CON",1998,9790.88145211771,6069.09522419776
"carbon1997CON",1997,5525.26641822437,3564.75438992415
"carbon1996CON",1996,2748.39448944407,1870.15997127935
"carbon1995CON",1995,1135.41541996192,836.422373454167
"carbon1994CON",1994,355.065434581979,292.234513769419
"carbon1993CON",1993,69.9324021590754,65.2985621648665
"carbon1992CON",1992,4.78881646458983,4.78869202133995
"carbon1991CON",1991,0,0
"carbon1990CON",1990,0,0
