"","Year","total","SE"
"carbon2021CON",2021,35716259.9205136,1507856.15479683
"carbon2020CON",2020,34782471.1803517,1478447.61624627
"carbon2019CON",2019,33832348.0203084,1447275.37388268
"carbon2018CON",2018,32863519.93781,1414326.54073525
"carbon2017CON",2017,31873813.1610873,1379576.60758456
"carbon2016CON",2016,30861323.6993205,1342997.38614018
"carbon2015CON",2015,29824554.5141268,1304556.04949818
"carbon2014CON",2014,28762536.8630264,1264219.69811964
"carbon2013CON",2013,27674920.853862,1221966.95035873
"carbon2012CON",2012,26561895.6007931,1177797.12385253
"carbon2011CON",2011,25423953.5303883,1131736.14747475
"carbon2010CON",2010,24261821.5733581,1083840.76042997
"carbon2009CON",2009,23076472.106514,1034200.70891681
"carbon2008CON",2008,21869173.9471455,982938.305786949
"carbon2007CON",2007,20641640.4722405,930204.091762464
"carbon2006CON",2006,19396158.8713229,876172.537818559
"carbon2005CON",2005,18135749.6035536,821035.951277363
"carbon2004CON",2004,16864215.737228,765008.970726413
"carbon2003CON",2003,15586120.7407042,708341.720417056
"carbon2002CON",2002,14306918.3596197,651318.954929543
"carbon2001CON",2001,13032951.7739544,594260.360485391
"carbon2000CON",2000,11771404.5450824,537521.228357947
"carbon1999CON",1999,10530321.3376213,481486.929722048
"carbon1998CON",1998,9318493.93694418,426572.838373496
"carbon1997CON",1997,8145249.24526793,373227.273832741
"carbon1996CON",1996,7020293.73425103,321924.991400929
"carbon1995CON",1995,5953548.6584686,273155.411424119
"carbon1994CON",1994,4954903.64705441,227409.985255993
"carbon1993CON",1993,4033891.04853587,185166.732678538
"carbon1992CON",1992,3199353.41201384,146865.532658777
"carbon1991CON",1991,2459018.93968482,112881.124566712
"carbon1990CON",1990,1818938.80226004,83498.2822635181
