"","year","total","lower","upper"
"carbon1990CON",1990,6463018.10970463,5390149.37082612,7535886.84858313
"carbon1991CON",1991,7214866.25444482,6156487.22028506,8273245.28860458
"carbon1992CON",1992,8057104.17332365,7007732.83016384,9106475.51648345
"carbon1993CON",1993,8982661.35524969,7934623.61236019,10030699.0981392
"carbon1994CON",1994,10186469.409158,9073702.6782059,11299236.1401101
"carbon1995CON",1995,11460402.3448241,10278399.3879891,12642405.301659
"carbon1996CON",1996,12591958.3100981,11380989.0955626,13802927.5246335
"carbon1997CON",1997,13974076.4164035,12682048.9890387,15266103.8437682
"carbon1998CON",1998,15353153.56235,13976688.5562924,16729618.5684076
"carbon1999CON",1999,16719468.459795,15255468.4487748,18183468.4708152
"carbon2000CON",2000,17612269.8184192,16113729.0993711,19110810.5374672
"carbon2001CON",2001,18872006.4707665,17276404.8914003,20467608.0501327
"carbon2002CON",2002,20183022.6513409,18489308.8227176,21876736.4799642
"carbon2003CON",2003,21019634.196165,19245564.1651026,22793704.2272274
"carbon2004CON",2004,22135558.7331926,20261822.5518223,24009294.9145628
"carbon2005CON",2005,23509820.4744174,21537448.9690819,25482191.9797529
"carbon2006CON",2006,23968653.9647649,21944212.1387172,25993095.7908125
"carbon2007CON",2007,25206574.5674218,23082059.3575105,27331089.7773331
"carbon2008CON",2008,26175841.3887502,23961801.8171355,28389880.9603649
"carbon2009CON",2009,27320795.4288488,25011408.4198289,29630182.4378686
"carbon2010CON",2010,28576286.2829033,26175230.3426327,30977342.2231739
"carbon2011CON",2011,29535184.186231,27045467.765029,32024900.6074329
"carbon2012CON",2012,30599506.6209723,28025308.5867104,33173704.6552342
"carbon2013CON",2013,31227278.2915228,28572507.9692646,33882048.6137811
"carbon2014CON",2014,31076057.4541754,28606582.8585272,33545532.0498237
"carbon2015CON",2015,31481580.3749599,28942846.5906369,34020314.1592829
"carbon2016CON",2016,31676302.0775121,29068646.1538907,34283958.0011335
"carbon2017CON",2017,31968947.2157999,29299392.2594512,34638502.1721486
"carbon2018CON",2018,32226926.5207466,29498417.9862268,34955435.0552665
"carbon2019CON",2019,32146639.8797665,29346052.4177688,34947227.3417641
"carbon2020CON",2020,32580731.2939818,29705556.5736066,35455906.014357
"carbon2021CON",2021,32640336.8769099,29700184.8394862,35580488.9143337
